col_id,col_name,col_group,col_group_id,group_col_id,col_area,project_id,refs,max_thick,max_min_thick,min_min_thick,b_age,t_age,b_int_name,t_int_name,pbdb_collections,lith,environ,econ,t_units,t_sections
471,"Deep Creek Mountains, Utah",GB,4,17,14876.2,1,1,350,350,0,438.5,426.3,Telychian,Ludlow,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,1,1
391,Boston Area,NE,11,24,22791.1,1,1,4400,4400,0,446.15,404.025,Richmondian,Emsian,0,silt siliciclastic sedimentary  ~ 0.1667|granite plutonic igneous  ~ 0.6667|volcanic volcanic igneous  ~ 0.1667,inferred marine  marine  ~ 1,,3,3
1649,Northern Richardson Mountains,"Sheet 1: Northwest, Yukon Territories",44,4,12312.7,1,12,900,900,900,475.775,386.45,Arenigian,Givetian,0,mudstone siliciclastic sedimentary  ~ 0.0556|shale siliciclastic sedimentary  ~ 0.377|siltstone siliciclastic sedimentary  ~ 0.2778|conglomerate siliciclastic sedimentary  ~ 0.0278|limestone carbonate sedimentary  ~ 0.0754|chert chemical sedimentary  ~ 0.1865,inferred marine  marine  ~ 1,,3,1
1621,Ware map area,Sheet 2: Prairie Provinces and British Columbia,45,36,23018.6,1,12,130,130,130,441.55,423,Rhuddanian,Ludlow,0,shale siliciclastic sedimentary  ~ 0.0714|siltstone siliciclastic sedimentary  ~ 0.3572|sandstone siliciclastic sedimentary  ~ 0.0714|limestone carbonate sedimentary  ~ 0.4167|dolomite carbonate sedimentary  ~ 0.0833,inferred marine  marine  ~ 1,,2,1
167,Waco Uplift Portion of Ouachita Tectonic Belt,TOT,20,15,23744.4,1,1,10950,10950,0,470,312,Whiterock,Atokan,0,shale siliciclastic sedimentary  ~ 0.3939|sandstone siliciclastic sedimentary  ~ 0.1666|limestone carbonate sedimentary  ~ 0.0454|chert chemical sedimentary  ~ 0.1666|phyllite metasedimentary metamorphic  ~ 0.2273,inferred marine  marine  ~ 1,,2,1
95,West Sak,NAL,8,3,8461.5,1,1,0,0,0,464,387.7,Chazyan,Eifelian,0,phyllite metasedimentary metamorphic  ~ 0.5|argillite siliciclastic sedimentary  ~ 0.5,inferred marine  marine  ~ 1,,1,1
363,"Atlanta Area, Georgia",PBR,15,15,11291.9,1,1,90,90,0,443.8,431.9,Alexandrian,Wenlock,0,gneiss metamorphic metamorphic  ~ 0.0714|schist metamorphic metamorphic  ~ 0.6072|quartzite metasedimentary metamorphic  ~ 0.25|amphibolite metamorphic metamorphic  ~ 0.0714,,,2,1
464,"Death Valley, California",GB,4,10,27368.6,1,1,600,600,0,438.5,396.875,Telychian,Emsian,1,limestone carbonate sedimentary  ~ 0.8333|chert chemical sedimentary  ~ 0.1667,inferred marine  marine  ~ 1,,1,1
349,"Talladega Slate Belt, Alabama",PBR,15,1,9362.3,1,1,11920,5270,3800,448.05,408.6667,Richmondian,Siegenian,0,siltstone siliciclastic sedimentary  ~ 0.0238|conglomerate siliciclastic sedimentary  ~ 0.0204|slate metasedimentary metamorphic  ~ 0.1429|phyllite metasedimentary metamorphic  ~ 0.3265|quartzite metasedimentary metamorphic  ~ 0.4864,marine  marine  ~ 0.3333|inferred marine  marine  ~ 0.6667,,7,1
158,"Central Southern Oklahoma and Southwestern Oklahoma, Southern Oklahoma Fold",TOT,20,6,23283.3,1,1,107,107,0,443.8,419.2,Rhuddanian,Cayugan,71,shale siliciclastic sedimentary  ~ 0.4286|marl carbonate sedimentary  ~ 0.0357|limestone carbonate sedimentary  ~ 0.5357,marine  marine  ~ 1,oil/gas indet. hydrocarbon energy  ~ 1,4,1
465,"Ely Area, Nevada",GB,4,11,22965.1,1,1,900,350,350,440.8,408.4,Aeronian,Siegenian,37,siltstone siliciclastic sedimentary  ~ 0.0714|sandstone siliciclastic sedimentary  ~ 0.0714|dolomite carbonate sedimentary  ~ 0.8572,marine  marine  ~ 0.5|inferred marine  marine  ~ 0.5,,2,1
476,"Pocatello - Preston Area, Southeastern Idaho",GB,4,22,26557.4,1,1,500,500,0,443.8,433.4,Llandovery,Llandovery,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,1,1
302,Southeastern Pennsylvania,NAP,9,19,9629.1,1,1,1661,1652,137,443.8,417.1,Alexandrian,Gedinnian,2,claystone siliciclastic sedimentary  ~ 0.0397|shale siliciclastic sedimentary  ~ 0.3505|siltstone siliciclastic sedimentary  ~ 0.0079|sandstone siliciclastic sedimentary  ~ 0.254|conglomerate siliciclastic sedimentary  ~ 0.0185|limestone carbonate sedimentary  ~ 0.2315|chert chemical sedimentary  ~ 0.0185|quartzite metasedimentary metamorphic  ~ 0.0794,inferred marine  marine  ~ 1,,9,1
1692,Column H,Parana Basin,48,8,148961.1,8,29,75,75,0,443.05,434.675,Rhuddanian,Telychian,0,mudstone siliciclastic sedimentary  ~ 0.3572|shale siliciclastic sedimentary  ~ 0.0714|siltstone siliciclastic sedimentary  ~ 0.1429|sandstone siliciclastic sedimentary  ~ 0.0714|quartz arenite siliciclastic sedimentary  ~ 0.3572,shoreface siliciclastic marine  ~ 0.3333|marine  marine  ~ 0.6667,,2,1
319,"North Central Alaska, Range Healy Area",SAL,16,4,31097.7,1,1,2000,2000,0,446.15,373.9,Richmondian,Chemungian,0,phyllite metasedimentary metamorphic  ~ 0.8333|quartzite metasedimentary metamorphic  ~ 0.1667,,,1,1
247,Sonora Area,NCA,10,14,10635,1,1,4000,4000,0,471.925,358.9,Arenigian,Conewangan,0,schist metamorphic metamorphic  ~ 0.3333|quartzite metasedimentary metamorphic  ~ 0.3333|marble metasedimentary metamorphic  ~ 0.3333,,gold mineral precious commodity  ~ 1,1,1
94,Colville Delta,NAL,8,2,15772.2,1,1,0,0,0,464,387.7,Chazyan,Eifelian,0,phyllite metasedimentary metamorphic  ~ 0.5|argillite siliciclastic sedimentary  ~ 0.5,inferred marine  marine  ~ 1,,1,1
43,"Rockingham & Augusta Counties, Virginia - West of North Mtn Fault",NAP,9,6,3579.1,1,1,511,198,180,443.8,417.1,Rhuddanian,Gedinnian,5,shale siliciclastic sedimentary  ~ 0.2551|siltstone siliciclastic sedimentary  ~ 0.0101|sandstone siliciclastic sedimentary  ~ 0.4848|limestone carbonate sedimentary  ~ 0.25,inferred marine  marine  ~ 1,,11,2
36,Barrow - Drew Point,NAL,8,1,24822.4,1,1,0,0,0,464,387.7,Chazyan,Eifelian,0,phyllite metasedimentary metamorphic  ~ 0.5|argillite siliciclastic sedimentary  ~ 0.5,inferred marine  marine  ~ 1,,1,1
477,"Northern Wasatch Allochthon, Utah",GB,4,23,11327.2,1,1,400,400,0,443.8,431.9,Llandovery,Wenlock,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,1,1
