col_id,col_name,col_group,col_group_id,group_col_id,col_area,project_id,refs,max_thick,max_min_thick,min_min_thick,b_age,t_age,b_int_name,t_int_name,pbdb_collections,lith,environ,econ,t_units,t_sections
160,Bend Arch,TOT,20,8,18949.8,1,1,4,4,0,382.7,357.05,Fingerlakesian,Kinderhookian,0,shale siliciclastic sedimentary  ~ 0.8333|breccia siliciclastic sedimentary  ~ 0.1667,inferred marine  marine  ~ 1,,1,1
396,East Charley River,NAL,8,26,29258.1,1,1,1850,835,835,464.75,353.35,Whiterock,Kinderhookian,66,mudstone siliciclastic sedimentary  ~ 0.0139|shale siliciclastic sedimentary  ~ 0.3535|siltstone siliciclastic sedimentary  ~ 0.0694|sandstone siliciclastic sedimentary  ~ 0.0694|conglomerate siliciclastic sedimentary  ~ 0.0139|carbonate carbonate sedimentary  ~ 0.3333|limestone carbonate sedimentary  ~ 0.0151|chert chemical sedimentary  ~ 0.1313,submarine fan siliciclastic marine  ~ 0.1667|marine  marine  ~ 0.1667|inferred marine  marine  ~ 0.6667,,6,1
348,Dewey County East Basin (south),NRW,13,25,42118.6,1,1,60,60,0,377.3,357.05,Chemungian,Kinderhookian,0,shale siliciclastic sedimentary  ~ 0.1458|limestone carbonate sedimentary  ~ 0.8541,marine  marine  ~ 0.5|inferred marine  marine  ~ 0.5,oil indet. hydrocarbon energy  ~ 1,2,2
398,White Mountain to Chena River,NAL,8,28,19995.5,1,1,0,0,0,439.825,345.5,Alexandrian,Osagean,0,gneiss metamorphic metamorphic  ~ 0.3333|slate metasedimentary metamorphic  ~ 0.0556|phyllite metasedimentary metamorphic  ~ 0.0953|schist metamorphic metamorphic  ~ 0.2381|quartzite metasedimentary metamorphic  ~ 0.2778,,,3,2
338,Roosevelt County West Basin,NRW,13,15,22912.5,1,1,785,785,0,396.875,357.05,Emsian,Kinderhookian,0,shale siliciclastic sedimentary  ~ 0.166|siltstone siliciclastic sedimentary  ~ 0.0317|sandstone siliciclastic sedimentary  ~ 0.0139|limestone carbonate sedimentary  ~ 0.1347|dolomite carbonate sedimentary  ~ 0.5117|halite evaporite sedimentary  ~ 0.0694|anhydrite evaporite sedimentary  ~ 0.0727,marine  marine  ~ 0.1111|inferred marine  marine  ~ 0.8889,oil-prone source hydrocarbon energy  ~ 0.1667|gas-prone source hydrocarbon energy  ~ 0.1667|oil indet. hydrocarbon energy  ~ 0.6667,9,1
1452,Aishihik Lake,Sheet 1: Canadian Cordillera,36,19,17590.2,1,10,0,0,0,503.5,358.9,Middle Cambrian,Famennian,0,mudstone siliciclastic sedimentary  ~ 0.0278|conglomerate siliciclastic sedimentary  ~ 0.0278|chert chemical sedimentary  ~ 0.0278|tonalite plutonic igneous  ~ 0.125|gneiss metamorphic metamorphic  ~ 0.125|slate metasedimentary metamorphic  ~ 0.1786|phyllite metasedimentary metamorphic  ~ 0.0278|quartzite metasedimentary metamorphic  ~ 0.0357|marble metasedimentary metamorphic  ~ 0.0357|argillite siliciclastic sedimentary  ~ 0.1389|quartz monzonite plutonic igneous  ~ 0.25,inferred marine  marine  ~ 1,,4,2
154,Ipnavik Allochthon,NAL,8,12,38669.2,1,1,300,300,0,383.95,363.475,Givetian,Conewangan,0,shale siliciclastic sedimentary  ~ 0.1667|limestone carbonate sedimentary  ~ 0.8333,marine  marine  ~ 1,,1,1
1515,"Southern Ellesmere Island, Makinson Inlet",Sheet 1: Canadian Arctic,41,15,16997.4,1,11,1410,1410,1410,423.7333,383.95,Ludlow,Givetian,5,shale siliciclastic sedimentary  ~ 0.0182|siltstone siliciclastic sedimentary  ~ 0.1242|sandstone siliciclastic sedimentary  ~ 0.4242|conglomerate siliciclastic sedimentary  ~ 0.0333|dolomite carbonate sedimentary  ~ 0.4,marine  marine  ~ 0.1667|non-marine  non-marine  ~ 0.3333|inferred marine  marine  ~ 0.5,,5,2
386,South - Central Maine,NE,11,19,21148.7,1,1,1000,1000,0,417.1,382.7,Gedinnian,Givetian,0,shale siliciclastic sedimentary  ~ 0.2778|sandstone siliciclastic sedimentary  ~ 0.0556|granite plutonic igneous  ~ 0.6667,inferred marine  marine  ~ 1,,3,3
213,Savioyuk Syncline,NAL,8,17,13117.4,1,1,1600,1600,0,373.9,357.6666,Chemungian,Kinderhookian,0,shale siliciclastic sedimentary  ~ 0.4293|siltstone siliciclastic sedimentary  ~ 0.1515|sandstone siliciclastic sedimentary  ~ 0.0556|wackestone carbonate sedimentary  ~ 0.0303|limestone carbonate sedimentary  ~ 0.0476|chert chemical sedimentary  ~ 0.0476|slate metasedimentary metamorphic  ~ 0.2381,marine  marine  ~ 1,,3,1
